Tipo Agregado;Valor m2
Apartamento;16.67
Apartamento;41.54
Apartamento;15.0
Apartamento;16.52
Casa;20.0
Apartamento;13.64
Casa;36.0
Apartamento;42.76
Apartamento;26.14
Apartamento;49.66
Casa;50.0
Apartamento;52.83
Apartamento;43.1
Apartamento;17.24
Apartamento;14.63
Apartamento;32.69
Apartamento;36.92
Apartamento;18.89
Apartamento;29.41
Apartamento;46.67
Apartamento;20.75
Apartamento;14.84
Apartamento;49.23
Apartamento;38.89
Apartamento;42.5
Apartamento;23.81
Apartamento;24.25
Apartamento;49.67
Casa;20.83
Apartamento;21.52
Apartamento;20.0
Apartamento;35.26
Apartamento;38.16
Apartamento;19.13
Apartamento;36.73
Apartamento;23.75
Apartamento;31.67
Apartamento;25.71
Apartamento;28.57
Apartamento;46.29
Apartamento;35.56
Apartamento;33.33
Apartamento;38.75
Apartamento;35.14
Apartamento;38.67
Apartamento;38.0
Apartamento;20.0
Apartamento;15.21
Apartamento;48.0
Casa;15.0
Apartamento;33.57
Apartamento;28.85
Apartamento;24.71
Apartamento;27.54
Apartamento;21.43
Apartamento;33.93
Casa;27.14
Apartamento;81.25
Apartamento;38.89
Apartamento;37.04
Apartamento;27.27
Apartamento;13.75
Apartamento;53.25
Apartamento;28.37
Apartamento;13.43
Apartamento;44.59
Apartamento;25.45
Apartamento;36.77
Apartamento;16.67
Casa;26.92
Apartamento;34.29
Apartamento;12.5
Apartamento;29.17
Apartamento;21.25
Apartamento;66.67
Apartamento;14.62
Apartamento;38.0
Apartamento;32.78
Apartamento;12.14
Apartamento;26.67
Apartamento;17.46
Apartamento;31.25
Apartamento;21.94
Apartamento;37.25
Apartamento;64.71
Apartamento;60.5
Apartamento;30.0
Apartamento;11.45
Apartamento;26.09
Apartamento;27.42
Apartamento;30.97
Apartamento;34.69
Apartamento;16.98
Apartamento;20.63
Casa;21.25
Apartamento;86.67
Apartamento;106.67
Apartamento;50.0
Apartamento;44.0
Apartamento;24.21
Apartamento;62.16
Apartamento;15.56
Apartamento;22.22
Apartamento;21.25
Casa;11.43
Apartamento;31.43
Apartamento;28.95
Apartamento;25.0
Apartamento;16.09
Apartamento;25.24
Apartamento;20.0
Apartamento;25.0
Apartamento;100.0
Apartamento;51.43
Apartamento;47.67
Apartamento;29.56
Apartamento;56.36
Apartamento;30.0
Apartamento;32.14
Apartamento;36.67
Apartamento;13.46
Apartamento;30.67
Apartamento;18.18
Apartamento;11.43
Apartamento;35.06
Apartamento;38.66
Apartamento;38.46
Apartamento;48.0
Apartamento;31.82
Apartamento;22.55
Apartamento;35.0
Apartamento;73.17
Apartamento;39.39
Apartamento;32.14
Apartamento;21.33
Apartamento;25.53
Apartamento;26.43
Apartamento;71.95
Apartamento;18.57
Apartamento;11.88
Apartamento;60.61
Casa;28.04
Casa;21.0
Apartamento;35.0
Apartamento;56.67
Apartamento;15.52
Apartamento;19.34
Apartamento;36.36
Casa;13.0
Apartamento;51.61
Apartamento;16.46
Apartamento;17.39
Apartamento;24.51
Apartamento;25.0
Apartamento;47.37
Apartamento;40.0
Apartamento;11.25
Apartamento;50.0
Apartamento;93.33
Apartamento;25.97
Apartamento;17.14
Apartamento;32.28
Apartamento;13.51
Apartamento;41.18
Apartamento;42.17
Apartamento;52.78
Apartamento;36.36
Apartamento;26.02
Apartamento;7.22
Apartamento;23.33
